#number of nodes
50
#nodes (n1,n2,bandwidth in bits)
(0,1,3000000)
(0,4,3000000)
(0,21,5000000)
(0,42,2000000)
(0,44,2000000)
(1,2,3000000)
(1,4,2000000)
(1,28,2000000)
(2,3,3000000)
(2,29,2000000)
(2,47,2000000)
(3,5,3000000)
(4,10,2000000)
(4,12,2000000)
(4,32,2000000)
(5,6,3000000)
(5,9,2000000)
(5,12,3000000)
(5,26,2000000)
(5,38,2000000)
(5,43,2000000)
(6,7,3000000)
(6,8,3000000)
(6,20,5000000)
(7,9,3000000)
(7,31,2000000)
(7,39,2000000)
(7,49,2000000)
(9,30,2000000)
(10,11,3000000)
(10,13,3000000)
(10,25,2000000)
(10,34,2000000)
(11,12,3000000)
(11,13,2000000)
(11,14,3000000)
(11,15,2000000)
(11,35,2000000)
(12,15,3000000)
(12,18,2000000)
(12,27,2000000)
(12,41,2000000)
(13,24,5000000)
(13,33,2000000)
(13,36,2000000)
(15,16,3000000)
(15,19,2000000)
(16,17,3000000)
(16,40,2000000)
(16,45,2000000)
(16,46,2000000)
(17,18,3000000)
(17,19,3000000)
(17,22,5000000)
(17,48,2000000)
(18,37,2000000)
(19,23,5000000)
#properties (Client, Server)
(25,20)
(26,21)
(27,22)
(28,23)
(29,24)
(30,20)
(31,21)
(32,22)
(33,23)
(34,24)
(35,20)
(36,21)
(37,22)
(38,23)
(39,24)
(40,20)
(41,21)
(42,22)
(43,23)
(44,24)
(45,20)
(46,21)
(47,22)
(48,23)
(49,24)
